file,stem,chars,pages
TCI - Letter 2004 Q1.pdf,TCI-Letter-2004-Q1,18475,10
TCI - Letter 2004 Q2.pdf,TCI-Letter-2004-Q2,40790,18
TCI - Letter 2004 Q3.pdf,TCI-Letter-2004-Q3,31238,15
TCI - Letter 2004 Q4.pdf,TCI-Letter-2004-Q4,29412,14
TCI - Letter 2005 Q1.pdf,TCI-Letter-2005-Q1,39094,18
TCI - Letter 2005 Q2.pdf,TCI-Letter-2005-Q2,40643,19
TCI - Letter 2005 Q3.pdf,TCI-Letter-2005-Q3,25756,17
TCI - Letter 2005 Q4.pdf,TCI-Letter-2005-Q4,39045,19
TCI - Letter 2006 Q1.pdf,TCI-Letter-2006-Q1,23896,13
TCI - Letter 2006 Q2.pdf,TCI-Letter-2006-Q2,25997,13
TCI - Letter 2006 Q3.pdf,TCI-Letter-2006-Q3,22019,12
TCI - Letter 2006 Q4.pdf,TCI-Letter-2006-Q4,53814,22
TCI - Letter 2007 Q1.pdf,TCI-Letter-2007-Q1,21800,12
TCI - Letter 2007 Q2.pdf,TCI-Letter-2007-Q2,17834,10
TCI - Letter 2007 Q3.pdf,TCI-Letter-2007-Q3,17919,9
TCI - Letter 2007 Q4.pdf,TCI-Letter-2007-Q4,89860,35
TCI - Letter 2008 Q1.pdf,TCI-Letter-2008-Q1,29906,13
TCI - Letter 2008 Q2.pdf,TCI-Letter-2008-Q2,16989,9
TCI - Letter 2008 Q3.pdf,TCI-Letter-2008-Q3,55467,20
TCI - Letter 2008 Q4.pdf,TCI-Letter-2008-Q4,37782,14
TCI - Letter 2009 Q1.pdf,TCI-Letter-2009-Q1,17234,8
TCI - Letter 2009 Q2.pdf,TCI-Letter-2009-Q2,23872,10
TCI - Letter 2009 Q3.pdf,TCI-Letter-2009-Q3,53709,18
TCI - Letter 2009 Q4.pdf,TCI-Letter-2009-Q4,42832,15
TCI - Letter 2010 Q1.pdf,TCI-Letter-2010-Q1,40510,15
TCI - Letter 2010 Q2.pdf,TCI-Letter-2010-Q2,52943,17
TCI - Letter 2010 Q3.pdf,TCI-Letter-2010-Q3,52943,17
TCI - Letter 2010 Q4.pdf,TCI-Letter-2010-Q4,68422,23
TCI - Letter 2011 Q1.pdf,TCI-Letter-2011-Q1,60283,19
TCI - Letter 2011 Q2.pdf,TCI-Letter-2011-Q2,27834,12
TCI - Letter 2012 Q1.pdf,TCI-Letter-2012-Q1,44524,14
TCI Q2 2018 Investor Newsletter.pdf,TCI-Q2-2018-Investor-Newsletter,69369,27
